District,Latitude,Longitude,Month,Month1,Year,Monthly_cases,X21,X22,X23,X24,X25,X26,X27,X28,X29,X210,X211,X212,X213,X214,X215,X216,X217,X218,X219,X220,X221,,,,,,,,,,
Bagerhat,22.6602,89.7895,January,1,2022,0,17.29,8.4,25.32,78.56,0.87,101.36,460.2,1534012,18.7,74.66,1,4.04,99,134.993056,1006.772076,0.90 ,5.5,52,3646.18417,240.2926522,2573.457572,,,,,,,,,,
Bandarban,22.6602,89.7895,January,1,2022,0,22.42,14.15,30.56,77.19,0.09,101.43,485.51,404091,18.2,73.69,1.2,4.64,99,35.560008,265.2049233,0.90 ,5.5,52,4595.260113,302.8391295,3243.310371,,,,,,,,,,
Barguna,22.6602,89.7895,January,1,2022,1,20.5,15.59,26.29,73.49,0.76,101.43,485.51,927889,18.2,73.69,1.2,4.38,99,81.654232,608.9735507,0.90 ,5.5,52,1345.650521,88.68173341,949.7530459,,,,,,,,,,
Barishal,21.8311,92.3686,January,1,2022,3,17.29,8.4,25.32,78.56,0.87,101.2,460.2,2414729,18.7,74.66,1,4.38,99,212.496152,1584.786643,0.90 ,5.5,52,2219.580861,146.2759276,1566.568474,,,,,,,,,,
Bhola,21.8311,92.3686,January,1,2022,0,22.42,14.15,30.56,77.19,0.09,100.76,460.2,1846351,18.7,74.66,1,4.38,99,162.478888,1211.760161,0.90 ,5.5,52,1948.543739,128.4139037,1375.271902,,,,,,,,,,
Bogura,21.8311,92.3686,January,1,2022,0,20.5,15.59,26.29,73.49,0.76,100.48,460.2,3539293,18.7,74.66,1,4,99,311.457784,2322.837996,0.90 ,5.5,52,2912.594162,191.9472367,2055.69361,,,,,,,,,,
Brahmanbaria,23.7073,90.4155,January,1,2022,0,17.29,8.4,25.32,78.56,0.87,100.2,460.2,2953208,18.7,74.66,1,4.64,99,259.882304,1938.19041,0.90 ,5.5,52,1922.681908,126.7095444,1357.018758,,,,,,,,,,
Chandpur,23.7073,90.4155,January,1,2022,3,22.42,14.15,30.56,77.19,0.09,100.12,460.2,2513838,18.7,74.66,1,4.64,99,221.217744,1649.831879,0.90 ,5.5,52,1469.437035,96.83957418,1037.120915,,,,,,,,,,
Chapai Nawabganj,23.7073,90.4155,January,1,2022,0,20.5,15.59,26.29,73.49,0.76,100.15,460.2,1714249,18.7,74.66,1,4,99,150.853912,1125.061619,0.90 ,5.5,52,1685.473879,111.0769423,1189.598582,,,,,,,,,,
Chattogram,22.7004,90.375,January,1,2022,6,17.29,8.4,25.32,78.56,0.87,100.14,460.2,7913366,18.7,74.66,1,4.64,99,696.376208,5193.542106,0.90 ,5.5,52,4450.859261,293.3227523,3141.39301,,,,,,,,,,
Chuadanga,22.7004,90.375,January,1,2022,0,22.42,14.15,30.56,77.19,0.09,100.44,460.2,1174836,18.7,74.66,1,4.04,99,103.385568,771.0448668,0.90 ,5.5,52,1165.101675,76.78311311,822.322622,,,,,,,,,,
Cox's Bazar,22.7004,90.375,January,1,2022,43,20.5,15.59,26.29,73.49,0.76,100.89,460.2,5602624,18.7,74.66,1,4.64,99,493.030912,3677.002131,0.90 ,5.5,52,2172.97806,143.2046866,1533.676463,,,,,,,,,,
Cumilla,22.1785,90.7101,January,1,2022,1,17.29,8.4,25.32,78.56,0.87,101.15,460.2,2381814,18.7,74.66,1,4.64,99,209.599632,1563.184528,0.90 ,5.5,52,3088.030481,203.5089287,2179.515639,,,,,,,,,,
Dhaka,22.1785,90.7101,January,1,2022,59,22.42,14.15,30.56,77.19,0.09,101.26,460.2,12517360,18.7,74.66,1,4.04,99,1101.52768,8215.143368,0.90 ,5.5,52,1476.081489,97.27746032,1041.810536,,,,,,,,,,
Dinajpur,22.1785,90.7101,January,1,2022,1,20.5,15.59,26.29,73.49,0.76,101.19,485.51,3109626,18.2,73.69,1.2,4.1,99,273.647088,2040.847544,0.90 ,5.5,52,3460.164551,228.0334943,2442.165905,,,,,,,,,,
Faridpur,24.851,89.3697,January,1,2022,0,17.29,8.4,25.32,78.56,0.87,101.04,485.51,1988695,18.2,73.69,1.2,4.04,99,175.00516,1305.180529,0.90 ,5.5,52,2043.68922,134.6842288,1442.425082,,,,,,,,,,
Feni,24.851,89.3697,January,1,2022,2,22.42,14.15,30.56,77.19,0.09,100.64,485.51,1496139,18.2,73.69,1.2,4.64,99,131.660232,981.9160257,0.90 ,5.5,52,906.8976904,59.76682502,640.0836105,,,,,,,,,,
Gaibandha,24.851,89.3697,January,1,2022,0,20.5,15.59,26.29,73.49,0.76,100.51,485.51,2471680,18.2,73.69,1.2,4.1,99,217.50784,1622.163584,0.90 ,5.5,52,2166.583587,142.7832748,1529.163278,,,,,,,,,,
